source,target,type,capacity
TH,MY,Directed,184
MY,PK,Directed,184
MY,NP,Directed,184
MY,IN,Directed,184
MY,IN,Directed,184
MY,SG,Directed,184
EG,BY,Directed,184
BY,CZ,Directed,184
BY,DE,Directed,184
NL,BY,Directed,184
BY,UA,Directed,184
RU,BY,Directed,184
BY,UA,Directed,184
IT,BY,Directed,184
US,CA,Directed,184
BD,SA,Directed,309
ES,EH,Directed,184
IT,PT,Directed,184
ES,RO,Directed,184
GB,RO,Directed,184
RO,IT,Directed,184
GB,RO,Directed,184
RO,IT,Directed,184
ES,GB,Directed,184
GB,CY,Directed,184
CY,RO,Directed,184
IE,RO,Directed,184
RO,GB,Directed,184
IT,CU,Directed,309
SE,FI,Directed,184
JP,GB,Directed,309
KR,GB,Directed,309
US,GB,Directed,309
CN,GB,Directed,309
MX,GB,Directed,309
US,GB,Directed,309
US,GB,Directed,309
JP,GB,Directed,309
US,GB,Directed,309
US,GB,Directed,309
CN,GB,Directed,309
MU,GB,Directed,309
US,GB,Directed,309
CA,GB,Directed,309
AU,SG,Directed,309
OM,GB,Directed,309
IN,GB,Directed,309
US,GB,Directed,309
SC,GB,Directed,309
ZA,GB,Directed,309
MV,GB,Directed,309
AE,GB,Directed,309
IN,GB,Directed,309
GB,IL,Directed,309
GB,US,Directed,309
TH,GB,Directed,309
NG,GB,Directed,309
JO,GB,Directed,184
GB,US,Directed,309
GB,US,Directed,309
GB,RU,Directed,184
GB,US,Directed,309
GB,US,Directed,309
GB,BS,Directed,309
GB,ES,Directed,184
GB,NG,Directed,309
GB,US,Directed,309
GB,TR,Directed,184
GB,AG,Directed,309
GB,US,Directed,309
GB,LC,Directed,309
GB,IN,Directed,309
GB,MA,Directed,184
GB,KE,Directed,309
GB,RU,Directed,184
GB,US,Directed,309
GB,SE,Directed,184
SE,GB,Directed,184
GB,BB,Directed,309
GB,US,Directed,309
NO,GB,Directed,184
AT,GB,Directed,184
